description,developer,format,genre,link,name,path,players,publisher,releasedate,size
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/BlazBlue%20-%20Calamity%20Trigger%20Portable%20%28Japan%29.iso?download=true,BlazBlue - Calamity Trigger Portable (Japan).iso,BlazBlue - Calamity Trigger Portable (Japan).iso,,,,773 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Bleach%20-%20Heat%20the%20Soul%20%28Japan%29.zip?download=true,Bleach - Heat the Soul (Japan),Bleach - Heat the Soul (Japan).zip,,,,281 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Bleach%20-%20Heat%20the%20Soul%202%20%28Japan%29.zip?download=true,Bleach - Heat the Soul 2 (Japan),Bleach - Heat the Soul 2 (Japan).zip,,,,564 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Bleach%20-%20Heat%20the%20Soul%203%20%28Japan%29.zip?download=true,Bleach - Heat the Soul 3 (Japan),Bleach - Heat the Soul 3 (Japan).zip,,,,685 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Bleach%20-%20Heat%20the%20Soul%204%20%28Japan%29.zip?download=true,Bleach - Heat the Soul 4 (Japan),Bleach - Heat the Soul 4 (Japan).zip,,,,716 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Bleach%20-%20Heat%20the%20Soul%205%20%28Japan%29.zip?download=true,Bleach - Heat the Soul 5 (Japan),Bleach - Heat the Soul 5 (Japan).zip,,,,442 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Bleach%20-%20Heat%20the%20Soul%206%20%28Asia%29.zip?download=true,Bleach - Heat the Soul 6 (Asia),Bleach - Heat the Soul 6 (Asia).zip,,,,494 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Bleach%20-%20Heat%20the%20Soul%207%20%28Japan%29.zip?download=true,Bleach - Heat the Soul 7 (Japan),Bleach - Heat the Soul 7 (Japan).zip,,,,426 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Bleach%20-%20Soul%20Carnival%20%28Japan%29.zip?download=true,Bleach - Soul Carnival (Japan),Bleach - Soul Carnival (Japan).zip,,,,482 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Bleach%20-%20Soul%20Carnival%202%20%28Japan%29.zip?download=true,Bleach - Soul Carnival 2 (Japan),Bleach - Soul Carnival 2 (Japan).zip,,,,1.20 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Bliss%20Island%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.iso?download=true,"Bliss Island (Europe) (En,Fr,De,Es,It).iso","Bliss Island (Europe) (En,Fr,De,Es,It).iso",,,,193 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Brandish%20-%20The%20Dark%20Revenant%20%28Japan%29.iso?download=true,Brandish - The Dark Revenant (Japan).iso,Brandish - The Dark Revenant (Japan).iso,,,,404 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/BRAVE%20STORY%20-%20NEW%20TRAVELER%20%5BULUS10279%5D.7z?download=true,BRAVE STORY - NEW TRAVELER [ULUS10279],BRAVE STORY - NEW TRAVELER [ULUS10279].7z,,,,120 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/BURNOUT%20DOMINATOR%20%5BULES00703%5D.7z?download=true,BURNOUT DOMINATOR [ULES00703],BURNOUT DOMINATOR [ULES00703].7z,,,,374 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Burnout%20Legends%20%5BULUS10025%5D.7z?download=true,Burnout Legends [ULUS10025],Burnout Legends [ULUS10025].7z,,,,153 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Buzz%21%20Master%20Quiz%20%28Europe%29%20%28En%2CPl%29.iso?download=true,"Buzz! Master Quiz (Europe) (En,Pl).iso","Buzz! Master Quiz (Europe) (En,Pl).iso",,,,1.50 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Buzz%21%20Master%20Quiz%20%28Europe%29%20%28Es%2CPt%29.iso?download=true,"Buzz! Master Quiz (Europe) (Es,Pt).iso","Buzz! Master Quiz (Europe) (Es,Pt).iso",,,,1.50 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Buzz%21%20Quem%20e%20o%20Genio%20Portugues%20%28Europe%29%20%28Pt%2CRu%29.iso?download=true,"Buzz! Quem e o Genio Portugues (Europe) (Pt,Ru).iso","Buzz! Quem e o Genio Portugues (Europe) (Pt,Ru).iso",,,,1.58 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Buzz%21%20Quiz%20World%20%28Australia%29.iso?download=true,Buzz! Quiz World (Australia).iso,Buzz! Quiz World (Australia).iso,,,,1.66 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Buzz%21%20Quiz%20World%20%28Europe%29%20%28En%2CPl%29.iso?download=true,"Buzz! Quiz World (Europe) (En,Pl).iso","Buzz! Quiz World (Europe) (En,Pl).iso",,,,1.70 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Buzz%21%20Quiz%20World%20%28Europe%29%20%28Fr%2CNl%29.iso?download=true,"Buzz! Quiz World (Europe) (Fr,Nl).iso","Buzz! Quiz World (Europe) (Fr,Nl).iso",,,,1.60 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Buzz%21%20Svenska%20Genier%20%28Europe%29%20%28Sv%2CFi%29.iso?download=true,"Buzz! Svenska Genier (Europe) (Sv,Fi).iso","Buzz! Svenska Genier (Europe) (Sv,Fi).iso",,,,1.53 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Buzz%21%20The%20Ultimate%20Music%20Quiz%20%28Australia%29.iso?download=true,Buzz! The Ultimate Music Quiz (Australia).iso,Buzz! The Ultimate Music Quiz (Australia).iso,,,,930 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Cabela%27s%20North%20American%20Adventures%20%28USA%29.iso?download=true,Cabela's North American Adventures (USA).iso,Cabela's North American Adventures (USA).iso,,,,857 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Cake%20Mania%20-%20Baker%27s%20Challenge%20%28USA%29.iso?download=true,Cake Mania - Baker's Challenge (USA).iso,Cake Mania - Baker's Challenge (USA).iso,,,,435 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Cardinal%20Arc%20-%20Konton%20no%20Fuusatsu%20%28Japan%29.iso?download=true,Cardinal Arc - Konton no Fuusatsu (Japan).iso,Cardinal Arc - Konton no Fuusatsu (Japan).iso,,,,439 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Carnage%20Heart%20EXA%20%28Japan%29.iso?download=true,Carnage Heart EXA (Japan).iso,Carnage Heart EXA (Japan).iso,,,,834 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Cars%20-%20Race-O-Rama%20%5BULES01333%5D.7z?download=true,Cars - Race-O-Rama [ULES01333],Cars - Race-O-Rama [ULES01333].7z,,,,155 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Cloudy%20with%20a%20Chance%20of%20Meatballs%20%28Europe%2C%20Australia%29.iso?download=true,"Cloudy with a Chance of Meatballs (Europe, Australia).iso","Cloudy with a Chance of Meatballs (Europe, Australia).iso",,,,967 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Cloudy%20with%20a%20Chance%20of%20Meatballs%20%28USA%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.iso?download=true,"Cloudy with a Chance of Meatballs (USA) (En,Fr,De,Es,It).iso","Cloudy with a Chance of Meatballs (USA) (En,Fr,De,Es,It).iso",,,,963 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Coded%20Arms%20%28Japan%29%20%28En%2CJa%29.iso?download=true,"Coded Arms (Japan) (En,Ja).iso","Coded Arms (Japan) (En,Ja).iso",,,,184 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Coded%20Arms%20%28USA%29.iso?download=true,Coded Arms (USA).iso,Coded Arms (USA).iso,,,,184 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Coded%20Arms%20-%20Contagion%20%28Japan%29.iso?download=true,Coded Arms - Contagion (Japan).iso,Coded Arms - Contagion (Japan).iso,,,,604 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Coded%20Arms%20-%20Contagion%20%28USA%29.iso?download=true,Coded Arms - Contagion (USA).iso,Coded Arms - Contagion (USA).iso,,,,547 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Crash%E2%84%A2%20Tag%20Team%20Racing%20%5BULUS10044%5D.7z?download=true,Crash™ Tag Team Racing [ULUS10044],Crash™ Tag Team Racing [ULUS10044].7z,,,,669 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Crazy%20Taxi%20-%20Fare%20Wars%20%28USA%29%20%28v1.01%29.iso?download=true,Crazy Taxi - Fare Wars (USA) (v1.01).iso,Crazy Taxi - Fare Wars (USA) (v1.01).iso,,,,906 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Crazy%20Taxi%20-%20Fare%20Wars%20%28USA%29%20%28v2.01%29.iso?download=true,Crazy Taxi - Fare Wars (USA) (v2.01).iso,Crazy Taxi - Fare Wars (USA) (v2.01).iso,,,,556 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Crimson%20Empire%20-%20Circumstances%20to%20Serve%20a%20Noble%20%28Japan%29.iso?download=true,Crimson Empire - Circumstances to Serve a Noble (Japan).iso,Crimson Empire - Circumstances to Serve a Noble (Japan).iso,,,,1.79 GB
