name,size,link
American Pool (USA).chd,1 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/American%20Pool%20%28USA%29.chd?download=true
Analog Controller Service Disc (Revised) (USA).chd,0 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Analog%20Controller%20Service%20Disc%20%28Revised%29%20%28USA%29.chd?download=true
Analog Controller Service Disc (USA).chd,0 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Analog%20Controller%20Service%20Disc%20%28USA%29.chd?download=true
Andretti Racing (USA).chd,497 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Andretti%20Racing%20%28USA%29.chd?download=true
Animaniacs - Ten Pin Alley (USA).chd,125 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Animaniacs%20-%20Ten%20Pin%20Alley%20%28USA%29.chd?download=true
Animorphs - Shattered Reality (USA).chd,205 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Animorphs%20-%20Shattered%20Reality%20%28USA%29.chd?download=true
Ape Escape (USA) (Demo 1).chd,36 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Ape%20Escape%20%28USA%29%20%28Demo%201%29.chd?download=true
Ape Escape (USA) (Demo 2) (EDC).chd,44 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Ape%20Escape%20%28USA%29%20%28Demo%202%29%20%28EDC%29.chd?download=true
Ape Escape (USA) (Demo 2).chd,44 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Ape%20Escape%20%28USA%29%20%28Demo%202%29.chd?download=true
Ape Escape (USA).chd,116 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Ape%20Escape%20%28USA%29.chd?download=true
Apocalypse (USA).chd,220 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Apocalypse%20%28USA%29.chd?download=true
Aquanaut's Holiday (USA).chd,82 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Aquanaut%27s%20Holiday%20%28USA%29.chd?download=true
Arc the Lad III (Japan) (Demo 3).chd,30 MB,https://huggingface.co/datasets/Emuladores/psxjp/resolve/main/Arc%20the%20Lad%20III%20%28Japan%29%20%28Demo%203%29.chd?download=true
Armored Core (Japan) (Demo 3).chd,98 MB,https://huggingface.co/datasets/Emuladores/psxjp/resolve/main/Armored%20Core%20%28Japan%29%20%28Demo%203%29.chd?download=true
Armored Core - Master of Arena (USA) (Disc 1).chd,356 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Armored%20Core%20-%20Master%20of%20Arena%20%28USA%29%20%28Disc%201%29.chd?download=true
Armored Core - Master of Arena (USA) (Disc 2).chd,356 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Armored%20Core%20-%20Master%20of%20Arena%20%28USA%29%20%28Disc%202%29.chd?download=true
Armored Core - Project Phantasma (USA).chd,186 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Armored%20Core%20-%20Project%20Phantasma%20%28USA%29.chd?download=true
Armorines - Project S.W.A.R.M. (USA).chd,246 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Armorines%20-%20Project%20S.W.A.R.M.%20%28USA%29.chd?download=true
Army Men - Air Attack (USA).chd,281 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Army%20Men%20-%20Air%20Attack%20%28USA%29.chd?download=true
"Army Men - World War - Land, Sea, Air (USA).chd",186 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Army%20Men%20-%20World%20War%20-%20Land%2C%20Sea%2C%20Air%20%28USA%29.chd?download=true
Army Men - World War - Team Assault (USA).chd,152 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Army%20Men%20-%20World%20War%20-%20Team%20Assault%20%28USA%29.chd?download=true
Army Men 3D (USA).chd,378 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Army%20Men%203D%20%28USA%29.chd?download=true
Arthur! Ready to Race (USA).chd,114 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Arthur%21%20Ready%20to%20Race%20%28USA%29.chd?download=true
Asciiware Training CD (USA).chd,20 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Asciiware%20Training%20CD%20%28USA%29.chd?download=true
Assault - Retribution (USA).chd,110 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Assault%20-%20Retribution%20%28USA%29.chd?download=true
Assault Rigs (USA).chd,349 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Assault%20Rigs%20%28USA%29.chd?download=true
Asteroids (USA).chd,90 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Asteroids%20%28USA%29.chd?download=true
Astronoka (Japan) (Demo Movie).chd,61 MB,https://huggingface.co/datasets/Emuladores/psxjp/resolve/main/Astronoka%20%28Japan%29%20%28Demo%20Movie%29.chd?download=true
Atari Anniversary Edition Redux (USA).chd,383 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Atari%20Anniversary%20Edition%20Redux%20%28USA%29.chd?download=true
Atlus Shinsaku Title Demo CD-ROM (Japan).chd,224 MB,https://huggingface.co/datasets/Emuladores/psxjp/resolve/main/Atlus%20Shinsaku%20Title%20Demo%20CD-ROM%20%28Japan%29.chd?download=true
Aubirdforce (Japan) (Shokai Genteiban).chd,117 MB,https://huggingface.co/datasets/Emuladores/psxjp/resolve/main/Aubirdforce%20%28Japan%29%20%28Shokai%20Genteiban%29.chd?download=true
Austin Powers Pinball (USA).chd,74 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Austin%20Powers%20Pinball%20%28USA%29.chd?download=true
Auto Destruct (USA).chd,117 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Auto%20Destruct%20%28USA%29.chd?download=true
Azure Dreams (USA).chd,142 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Azure%20Dreams%20%28USA%29.chd?download=true
Ballistic (USA).chd,102 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Ballistic%20%28USA%29.chd?download=true
Barbie - Explorer (USA).chd,112 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Barbie%20-%20Explorer%20%28USA%29.chd?download=true
Barbie - Gotta Have Games (USA).chd,77 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Barbie%20-%20Gotta%20Have%20Games%20%28USA%29.chd?download=true
Barbie - Race & Ride (USA).chd,437 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Barbie%20-%20Race%20%26%20Ride%20%28USA%29.chd?download=true
Barbie - Super Sports (USA).chd,149 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Barbie%20-%20Super%20Sports%20%28USA%29.chd?download=true
Baroque - Yuganda Mousou (Japan) (Genteiban).chd,415 MB,https://huggingface.co/datasets/Emuladores/psxjp/resolve/main/Baroque%20-%20Yuganda%20Mousou%20%28Japan%29%20%28Genteiban%29.chd?download=true
Bases Loaded '96 - Double Header (USA).chd,85 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bases%20Loaded%20%2796%20-%20Double%20Header%20%28USA%29.chd?download=true
Battle Arena Toshinden (USA).chd,283 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Battle%20Arena%20Toshinden%20%28USA%29.chd?download=true
Battle Arena Toshinden 2 (USA).chd,502 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Battle%20Arena%20Toshinden%202%20%28USA%29.chd?download=true
"Battle Arena Toshinden 3 (USA) (En,Ja).chd",407 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Battle%20Arena%20Toshinden%203%20%28USA%29%20%28En%2CJa%29.chd?download=true
Battle Hunter (USA).chd,30 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Battle%20Hunter%20%28USA%29.chd?download=true
